#{"t_start": 1776947966.838218, "env_id": "HalfCheetah-v5"}
r,l,t
-200.418522,1000,0.120857
-343.793067,1000,0.225142
-300.303668,1000,0.559788
-384.527891,1000,0.66747
-357.689474,1000,1.003395
-318.968101,1000,1.110443
-244.316821,1000,1.441515
-422.671062,1000,1.545019
-303.073566,1000,1.873297
-337.064363,1000,1.978418
-324.634309,1000,2.308652
-321.093554,1000,2.414679
-349.564757,1000,2.743612
-458.475876,1000,2.849755
-373.423748,1000,3.183878
-328.777576,1000,3.288863
-271.24728,1000,3.615731
-350.640623,1000,3.722163
-297.381917,1000,4.053585
-273.315499,1000,4.163438
-305.303057,1000,4.498315
-495.289372,1000,4.604494
-283.267633,1000,4.939091
-245.520453,1000,5.044636
-297.887581,1000,5.380363
-305.277455,1000,5.488733
-472.124865,1000,5.820241
-312.102909,1000,5.926679
-309.097892,1000,6.25805
-269.880184,1000,6.366777
-275.56302,1000,6.697491
-377.172967,1000,6.803635
-386.474643,1000,7.13185
-237.233304,1000,7.238538
-361.662976,1000,7.56708
-296.679001,1000,7.673796
-187.68594,1000,8.00299
-331.887058,1000,8.120371
-349.635628,1000,8.460334
-330.796698,1000,8.566286
-98.1581,1000,8.893803
-326.516011,1000,8.999219
-215.593641,1000,9.105319
-376.157966,1000,9.433855
-278.793438,1000,9.539625
-394.627727,1000,9.868938
-364.450632,1000,9.974447
-206.240829,1000,10.303734
-276.120608,1000,10.410519
-213.519653,1000,10.739267
-214.18316,1000,10.844762
-133.349823,1000,11.173371
-194.527592,1000,11.280093
-160.13082,1000,11.615508
-123.787359,1000,11.729216
-238.061323,1000,12.07474
-237.263686,1000,12.180953
-231.664969,1000,12.510916
-245.560294,1000,12.617835
-180.591229,1000,12.954946
-257.823759,1000,13.069382
-358.539022,1000,13.405294
-163.342793,1000,13.512205
-196.189347,1000,13.89891
-134.897235,1000,14.008646
-203.422733,1000,14.346363
-173.993207,1000,14.454659
-221.814298,1000,14.78507
-218.596715,1000,14.89348
-122.323033,1000,15.22389
-162.555199,1000,15.330573
-286.45662,1000,15.65976
-193.545017,1000,15.766019
-144.668387,1000,16.094403
-124.328886,1000,16.201627
-199.292801,1000,16.528853
-20.437059,1000,16.63458
-187.070669,1000,16.964075
-148.301545,1000,17.069373
-87.366036,1000,17.401186
-102.657346,1000,17.507058
-237.727138,1000,17.834769
-142.631759,1000,17.942148
-140.525279,1000,18.26979
-39.867261,1000,18.378914
-2.656895,1000,18.485754
-34.733816,1000,18.816064
-70.889914,1000,18.926776
-69.629952,1000,19.258229
48.725177,1000,19.365885
38.489771,1000,19.693993
-81.706636,1000,19.799927
4.3048,1000,20.127298
19.801466,1000,20.233392
68.634282,1000,20.56119
89.820165,1000,20.666883
115.068134,1000,20.99421
-58.285748,1000,21.10071
-67.912855,1000,21.428207
135.073159,1000,21.535478
76.285845,1000,21.862368
108.054482,1000,21.969133
102.963802,1000,22.297513
106.24504,1000,22.403633
111.966133,1000,22.729693
21.886554,1000,22.835602
114.218588,1000,23.166683
108.569496,1000,23.272988
133.76976,1000,23.600308
130.662907,1000,23.706118
251.563363,1000,24.032896
249.547299,1000,24.139374
211.987769,1000,24.466571
194.085388,1000,24.572372
296.717058,1000,24.898591
228.157196,1000,25.005277
163.69775,1000,25.331423
185.58521,1000,25.439096
312.851455,1000,25.766579
256.407752,1000,25.872474
301.89292,1000,26.198818
283.152528,1000,26.304359
251.34771,1000,26.629468
360.126694,1000,26.735148
245.470122,1000,27.060708
345.741299,1000,27.166844
251.988434,1000,27.492418
391.225722,1000,27.598977
402.406705,1000,27.705629
331.47536,1000,28.031475
343.405693,1000,28.13734
279.746146,1000,28.465545
224.849363,1000,28.571919
318.394415,1000,28.910801
340.031236,1000,29.016793
295.827185,1000,29.346848
336.494393,1000,29.452695
301.102563,1000,29.780105
319.821721,1000,29.887072
432.437017,1000,30.225335
409.250721,1000,30.332772
491.144575,1000,30.66008
357.64996,1000,30.765536
272.199915,1000,31.094042
353.958619,1000,31.201035
406.408369,1000,31.528261
456.72509,1000,31.634005
419.751873,1000,31.9813
357.32972,1000,32.087943
394.040956,1000,32.414743
356.036836,1000,32.521313
429.59271,1000,32.848239
539.534588,1000,32.983785
442.483648,1000,33.321165
421.14555,1000,33.428217
495.229003,1000,33.756783
441.7925,1000,33.862387
304.95026,1000,34.189957
491.105635,1000,34.295319
523.140764,1000,34.622022
274.524996,1000,34.728854
442.827825,1000,35.056411
365.18944,1000,35.162962
503.896239,1000,35.490281
400.780668,1000,35.597729
457.876301,1000,35.925148
362.748827,1000,36.031832
417.445872,1000,36.388046
481.808462,1000,36.495457
456.96102,1000,36.831255
484.716715,1000,36.94175
390.651503,1000,37.051351
425.505478,1000,37.384978
458.446127,1000,37.494103
528.537079,1000,37.830484
472.594511,1000,37.93551
433.552993,1000,38.264215
496.208037,1000,38.370737
419.261201,1000,38.699453
507.289279,1000,38.804983
583.959256,1000,39.134017
559.057892,1000,39.240803
500.966924,1000,39.582514
513.356834,1000,39.689197
579.641126,1000,40.041582
555.227795,1000,40.149517
441.551364,1000,40.480211
523.238488,1000,40.585742
566.005845,1000,40.912714
586.54177,1000,41.018158
504.758433,1000,41.345186
453.940476,1000,41.451265
485.982153,1000,41.778295
561.135064,1000,41.885009
547.210543,1000,42.211938
572.952975,1000,42.318346
588.042387,1000,42.658953
404.667845,1000,42.765775
509.06725,1000,43.103572
582.375875,1000,43.214131
470.43605,1000,43.551839
595.528939,1000,43.659367
555.640024,1000,43.989756
514.717839,1000,44.095547
561.834875,1000,44.422655
574.763371,1000,44.52928
665.01662,1000,44.85759
553.506018,1000,44.966505
615.194372,1000,45.303331
605.489679,1000,45.409044
630.528374,1000,45.738209
563.623322,1000,45.84574
600.663544,1000,46.178655
704.423661,1000,46.29037
614.019049,1000,46.398431
540.700879,1000,46.731523
702.722979,1000,46.839223
589.270016,1000,47.191477
620.431494,1000,47.299092
707.64106,1000,47.633389
684.572608,1000,47.7415
318.120808,1000,48.078068
669.631373,1000,48.186023
654.69036,1000,48.519638
648.130712,1000,48.627507
703.119694,1000,48.961904
664.789191,1000,49.069752
536.067137,1000,49.399684
651.375887,1000,49.506923
601.568553,1000,49.840575
666.58361,1000,49.951469
648.60542,1000,50.291633
768.299337,1000,50.400614
706.982187,1000,50.736602
632.644357,1000,50.846862
679.348886,1000,51.183706
589.162234,1000,51.291226
747.273928,1000,51.632753
680.227636,1000,51.742093
578.39252,1000,52.132364
742.164927,1000,52.238484
699.509904,1000,52.578706
631.772079,1000,52.685503
726.4895,1000,53.026598
709.159605,1000,53.134716
683.720304,1000,53.47368
726.939316,1000,53.580218
761.402386,1000,53.916481
573.88968,1000,54.025199
730.32761,1000,54.3662
707.948854,1000,54.478199
667.037337,1000,54.820167
682.518136,1000,54.927722
644.18025,1000,55.264139
698.448426,1000,55.372944
724.080198,1000,55.483076
651.627459,1000,55.819646
595.637947,1000,55.929
633.417847,1000,56.26412
800.380637,1000,56.372007
748.182367,1000,56.708708
716.056102,1000,56.818839
716.725588,1000,57.194883
760.97635,1000,57.304633
768.675551,1000,57.675072
735.541282,1000,57.786842
797.344602,1000,58.123739
793.464257,1000,58.23387
819.633189,1000,58.576098
581.283429,1000,58.685705
694.398326,1000,59.028457
805.712689,1000,59.136526
733.121049,1000,59.468054
761.640629,1000,59.574583
780.330131,1000,59.913983
707.431079,1000,60.021519
765.769015,1000,60.361197
757.804551,1000,60.471371
813.926533,1000,60.807915
702.256956,1000,60.916708
748.45906,1000,61.24704
759.884924,1000,61.354455
753.903601,1000,61.68411
753.676037,1000,61.791626
867.059512,1000,62.121232
733.489797,1000,62.228185
843.024109,1000,62.556625
651.618625,1000,62.66325
789.159267,1000,63.030203
838.785862,1000,63.141968
766.341526,1000,63.476649
625.81078,1000,63.588559
796.521883,1000,63.927402
806.178302,1000,64.034624
791.098302,1000,64.378056
741.816344,1000,64.486117
810.227636,1000,64.816461
729.553711,1000,64.923794
720.448123,1000,65.030351
725.725777,1000,65.371896
822.351559,1000,65.483723
748.428674,1000,65.825673
726.790905,1000,65.935053
880.782594,1000,66.272958
706.710192,1000,66.3814
802.387883,1000,66.715277
857.78162,1000,66.823728
704.822354,1000,67.156062
773.660134,1000,67.263086
783.031267,1000,67.592085
658.114967,1000,67.698592
798.448972,1000,68.027452
855.386046,1000,68.132961
824.964252,1000,68.46116
838.903514,1000,68.566817
796.954645,1000,68.894464
824.983016,1000,69.000338
788.700826,1000,69.328669
802.393653,1000,69.435941
804.148163,1000,69.76319
835.37997,1000,69.868882
839.16236,1000,70.19721
867.328181,1000,70.304069
879.91124,1000,70.647719
828.946198,1000,70.758535
878.10891,1000,71.093893
758.051913,1000,71.202019
878.099193,1000,71.537371
879.727279,1000,71.647439
769.735407,1000,72.012605
887.938419,1000,72.123696
934.017031,1000,72.461509
870.371882,1000,72.569849
861.266475,1000,72.924556
719.769482,1000,73.040501
747.885401,1000,73.399287
795.223516,1000,73.510034
867.674245,1000,73.849541
877.953868,1000,73.958505
791.860084,1000,74.298069
750.341493,1000,74.406559
939.504602,1000,74.514549
837.058963,1000,74.855568
842.074821,1000,74.965963
766.863816,1000,75.312771
867.068395,1000,75.424465
803.560633,1000,75.798778
816.008944,1000,75.909943
829.966812,1000,76.25093
915.912128,1000,76.360745
841.375454,1000,76.698022
960.594014,1000,76.805412
854.694113,1000,77.1374
846.068821,1000,77.244066
820.862399,1000,77.582544
871.888424,1000,77.694142
773.09005,1000,78.031021
944.538742,1000,78.139461
821.6636,1000,78.478291
876.70204,1000,78.584467
905.834186,1000,78.914017
860.023025,1000,79.019807
858.543402,1000,79.348628
797.880094,1000,79.454451
789.527386,1000,79.782073
915.907469,1000,79.888199
871.23346,1000,80.217108
852.404602,1000,80.32415
928.320405,1000,80.652364
875.408177,1000,80.760282
927.462342,1000,81.091467
910.769407,1000,81.201745
904.580973,1000,81.54607
871.532379,1000,81.652565
1008.171137,1000,82.021845
934.916336,1000,82.13104
954.844776,1000,82.479084
903.432608,1000,82.59062
809.968264,1000,82.930371
846.36445,1000,83.042401
883.7403,1000,83.384169
906.518047,1000,83.492854
893.524711,1000,83.838076
871.340739,1000,83.945842
953.640984,1000,84.052657
888.026893,1000,84.393136
820.505258,1000,84.502184
903.01892,1000,84.843339
987.474193,1000,84.954787
881.246539,1000,85.298116
923.466761,1000,85.409628
946.012919,1000,85.744848
914.929355,1000,85.851858
883.419962,1000,86.182353
759.993466,1000,86.289617
964.781143,1000,86.621754
929.107079,1000,86.729618
998.25094,1000,87.059398
942.102428,1000,87.165916
1000.909086,1000,87.494567
904.94753,1000,87.600921
973.771274,1000,87.929003
925.123454,1000,88.034952
976.838798,1000,88.363309
845.061828,1000,88.468925
944.068147,1000,88.798652
922.109339,1000,88.906209
