#{"t_start": 1776952293.2457862, "env_id": "HalfCheetah-v5"}
r,l,t
-56.879539,1000,0.118861
-158.124323,1000,0.222812
9.615723,1000,0.555987
-146.709801,1000,0.66294
-102.936116,1000,0.9916
80.559514,1000,1.095734
364.605568,1000,1.423833
565.441144,1000,1.528285
488.625416,1000,1.856447
-45.886657,1000,1.960536
125.485085,1000,2.287637
-64.902417,1000,2.391849
-69.300384,1000,2.719513
320.931248,1000,2.826438
172.492843,1000,3.158363
259.257757,1000,3.264607
-193.395851,1000,3.592085
333.631054,1000,3.697648
-52.678627,1000,4.026631
-133.198777,1000,4.132096
226.373883,1000,4.461621
-64.048184,1000,4.566609
403.99987,1000,4.895434
329.107624,1000,5.000942
313.333405,1000,5.330121
476.407408,1000,5.435629
-13.710213,1000,5.766388
318.975714,1000,5.872044
201.589615,1000,6.200963
601.254695,1000,6.306989
214.999731,1000,6.644632
454.076713,1000,6.750513
730.730323,1000,7.080941
-58.716978,1000,7.187297
299.557306,1000,7.517714
425.18038,1000,7.62374
665.089753,1000,7.952237
480.588045,1000,8.058184
524.814984,1000,8.386888
661.360594,1000,8.492848
409.519897,1000,8.821875
38.109441,1000,8.928248
392.058624,1000,9.034058
523.117186,1000,9.363823
360.847143,1000,9.469293
718.052073,1000,9.799769
-37.405582,1000,9.908677
364.950359,1000,10.238245
714.389467,1000,10.344116
-34.821799,1000,10.674172
524.192181,1000,10.780238
667.873286,1000,11.10838
661.962082,1000,11.213446
444.369152,1000,11.542728
625.999047,1000,11.648761
862.978033,1000,11.97768
565.409375,1000,12.083707
21.066539,1000,12.413606
293.029911,1000,12.519864
43.416478,1000,12.849949
270.220787,1000,12.955463
717.021617,1000,13.283933
275.964307,1000,13.390088
749.641485,1000,13.719029
785.338415,1000,13.824877
67.658239,1000,14.1544
504.824225,1000,14.259885
333.327352,1000,14.589372
960.545325,1000,14.6953
855.066834,1000,15.025599
114.588894,1000,15.131597
582.18864,1000,15.461356
234.053463,1000,15.566833
903.243334,1000,15.894885
1036.823042,1000,16.001259
904.295601,1000,16.330234
601.34492,1000,16.436581
79.983737,1000,16.767657
558.091616,1000,16.87384
329.261452,1000,17.203414
536.496864,1000,17.309623
737.453486,1000,17.638355
704.15847,1000,17.744393
951.843337,1000,18.072834
234.82962,1000,18.179348
644.217199,1000,18.285385
1097.52909,1000,18.616754
1083.280346,1000,18.721486
1066.496753,1000,19.051492
358.655223,1000,19.157673
696.023287,1000,19.486696
1088.768477,1000,19.592451
677.762523,1000,19.922016
