#{"t_start": 1776950359.511148, "env_id": "HalfCheetah-v5"}
r,l,t
-592.615308,1000,0.121034
-722.72606,1000,0.227665
-332.740544,1000,0.636836
-384.627522,1000,0.748972
-816.327396,1000,1.08724
-760.671101,1000,1.195372
-749.197988,1000,1.528783
-786.112025,1000,1.632883
-323.184143,1000,1.960992
-785.197507,1000,2.065318
-632.284312,1000,2.395256
-767.809232,1000,2.502127
-714.90713,1000,2.83128
-761.11999,1000,2.936333
-689.348686,1000,3.30486
-673.032506,1000,3.412075
-860.018342,1000,3.744238
-824.821232,1000,3.851397
-845.587187,1000,4.184492
-666.506168,1000,4.292721
-856.377467,1000,4.627944
-740.478023,1000,4.733456
-699.095085,1000,5.068157
-591.258884,1000,5.17698
-759.725102,1000,5.510666
-479.978142,1000,5.619029
-715.8148,1000,5.951121
-767.592784,1000,6.05648
-580.084198,1000,6.385451
-807.419282,1000,6.491166
-870.572434,1000,6.8223
-475.894366,1000,6.930271
-728.772123,1000,7.263233
-658.031011,1000,7.370722
-862.922943,1000,7.702919
-714.256017,1000,7.809135
-847.046274,1000,8.144546
-490.135633,1000,8.250606
-478.815026,1000,8.581633
-793.159099,1000,8.689647
-808.127902,1000,9.022609
-532.537207,1000,9.130597
-252.867636,1000,9.238297
-502.395675,1000,9.56838
-793.176185,1000,9.674924
-822.757005,1000,10.006255
-532.858382,1000,10.113186
-846.340159,1000,10.453415
-637.477716,1000,10.564039
-305.574092,1000,10.920004
-762.06595,1000,11.053809
-717.863029,1000,11.397767
-190.009713,1000,11.505984
-574.337197,1000,11.844595
-363.680798,1000,11.953378
-324.901725,1000,12.29621
-671.619174,1000,12.404356
-664.041844,1000,12.736994
-779.859346,1000,12.845592
-555.894848,1000,13.177655
-722.24738,1000,13.284436
-765.620746,1000,13.618352
-830.99246,1000,13.728018
-725.904409,1000,14.065824
-273.254326,1000,14.174549
-815.784937,1000,14.548474
-432.929147,1000,14.655821
-505.836027,1000,14.988119
-774.237004,1000,15.096309
-553.743035,1000,15.426403
-763.336763,1000,15.533538
-659.873671,1000,15.868153
-300.199138,1000,15.975055
-521.713806,1000,16.312054
-370.196191,1000,16.420144
-557.736556,1000,16.763056
-755.160637,1000,16.87221
-303.029167,1000,17.203625
-285.253425,1000,17.311621
-160.254033,1000,17.641141
-256.56767,1000,17.748981
-207.499257,1000,18.085212
-661.686746,1000,18.193598
-708.240859,1000,18.53658
-197.981638,1000,18.646489
-539.559083,1000,18.756621
-446.418809,1000,19.107267
-571.500911,1000,19.215444
-191.796573,1000,19.55711
-810.320112,1000,19.666352
-346.792851,1000,19.998871
-323.197669,1000,20.106768
-240.186186,1000,20.447846
-618.300844,1000,20.560151
-380.546826,1000,20.905187
-647.057333,1000,21.015395
-613.660019,1000,21.354473
-298.392452,1000,21.463023
-662.789327,1000,21.803326
-199.436278,1000,21.914934
-723.191427,1000,22.289806
-533.045876,1000,22.398961
-167.119537,1000,22.741211
-160.405196,1000,22.852027
